Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Monosaccharide Transmembrane Transporter Activity (GO:0015145),1/6,0.02640780878,0.1011677433,0,0,45.24090909,164.4097853,SLC2A2
Dopamine Receptor Binding (GO:0050780),1/6,0.02640780878,0.1011677433,0,0,45.24090909,164.4097853,DLG4
Nitric-Oxide Synthase Binding (GO:0050998),1/6,0.02640780878,0.1011677433,0,0,45.24090909,164.4097853,SCN5A
Ether Hydrolase Activity (GO:0016803),1/6,0.02640780878,0.1011677433,0,0,45.24090909,164.4097853,LTA4H
Sodium Ion Binding (GO:0031402),1/6,0.02640780878,0.1011677433,0,0,45.24090909,164.4097853,SLC6A4
Secondary Active Transmembrane Transporter Activity (GO:0015291),2/60,0.02933150093,0.1011677433,0,0,7.868806976,27.76975337,SLC7A5;SLC22A11
Nucleotide Transmembrane Transporter Activity (GO:0015215),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,ABCC5
Fructose Transmembrane Transporter Activity (GO:0005353),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,SLC2A2
Thyroid Hormone Transmembrane Transporter Activity (GO:0015349),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,SLC7A5
Androsterone Dehydrogenase Activity (GO:0047023),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,AKR1C3
NADH Dehydrogenase Activity (GO:0003954),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,NQO1
NMDA Glutamate Receptor Activity (GO:0004972),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,GRIN2B
Purine Nucleotide Transmembrane Transporter Activity (GO:0015216),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,ABCC5
Pyrimidine Nucleoside Transmembrane Transporter Activity (GO:0015214),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,SLC28A1
Retinal Dehydrogenase Activity (GO:0001758),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,AKR1C3
Dehydroascorbic Acid Transmembrane Transporter Activity (GO:0033300),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,SLC2A2
Neutral L-amino Acid:Sodium Symporter Activity (GO:0005295),1/7,0.03074157946,0.1011677433,0,0,37.69886364,131.2726894,SLC6A2
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Iron-Sulfur Protein As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016713)",1/8,0.03505627612,0.1095801332,0,0,32.31168831,108.2700252,CYP11B2
Nucleoside Transmembrane Transporter Activity (GO:0005337),1/8,0.03505627612,0.1095801332,0,0,32.31168831,108.2700252,SLC28A1
"Oxidoreductase Activity, Acting On NAD(P)H, Heme Protein As Acceptor (GO:0016653)",1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,NQO1
Glycine Transmembrane Transporter Activity (GO:0015187),1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,SLC6A2
Aromatic Amino Acid Transmembrane Transporter Activity (GO:0015173),1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,SLC7A5
Branched-Chain Amino Acid Transmembrane Transporter Activity (GO:0015658),1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,SLC7A5
Potassium Ion Binding (GO:0030955),1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,KCNJ11
Cardiolipin Binding (GO:1901612),1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,MME
NADP-retinol Dehydrogenase Activity (GO:0052650),1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,AKR1C3
Purine Nucleobase Transmembrane Transporter Activity (GO:0005345),1/9,0.03935198153,0.1095801332,0,0,28.27130682,91.46358481,SLC28A1
alditol:NADP+ 1-Oxidoreductase Activity (GO:0004032),1/10,0.04362877818,0.112811555,0,0,25.12878788,78.70432598,AKR1C3
ABC-type Xenobiotic Transporter Activity (GO:0008559),1/10,0.04362877818,0.112811555,0,0,25.12878788,78.70432598,ABCC5
Phospholipase Activator Activity (GO:0016004),1/10,0.04362877818,0.112811555,0,0,25.12878788,78.70432598,FYN
Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507),1/10,0.04362877818,0.112811555,0,0,25.12878788,78.70432598,GRIN2B
Nuclear Retinoid X Receptor Binding (GO:0046965),1/10,0.04362877818,0.112811555,0,0,25.12878788,78.70432598,CYP27B1
D-glucose Transmembrane Transporter Activity (GO:0055056),1/11,0.0478867482,0.1203819642,0,0,22.61477273,68.72440527,SLC2A2
Prostaglandin Transmembrane Transporter Activity (GO:0015132),1/11,0.0478867482,0.1203819642,0,0,22.61477273,68.72440527,SLC22A11
Titin Binding (GO:0031432),1/12,0.05212597346,0.1257973493,0,0,20.55785124,60.72978231,CAMK2D
Ligand-Gated Channel Activity (GO:0022834),1/12,0.05212597346,0.1257973493,0,0,20.55785124,60.72978231,GRIN1
Lipase Activator Activity (GO:0060229),1/12,0.05212597346,0.1257973493,0,0,20.55785124,60.72978231,FYN
Protein Heterodimerization Activity (GO:0046982),3/190,0.05294250759,0.1260867615,0,0,3.67939311,10.8120759,ADRA1B;ADRA2C;ADRA2A
Phosphatidylglycerol Binding (GO:1901611),1/13,0.05634653545,0.1307528579,0,0,18.84375,54.19904429,MME
MHC Class I Protein Binding (GO:0042288),1/13,0.05634653545,0.1307528579,0,0,18.84375,54.19904429,DERL1
Heme Binding (GO:0020037),2/87,0.05742543594,0.1315696697,0,0,5.362001352,15.32067455,CYP27A1;CYP11B2
Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029),1/14,0.06054851534,0.1336497717,0,0,17.39335664,48.77636969,ALDH2
Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030),1/14,0.06054851534,0.1336497717,0,0,17.39335664,48.77636969,ALDH2
Aldo-Keto Reductase (NADP) Activity (GO:0004033),1/14,0.06054851534,0.1336497717,0,0,17.39335664,48.77636969,AKR1C3
Phospholipase Binding (GO:0043274),1/15,0.06473199396,0.141162541,0,0,16.15016234,44.2110646,FYN
CXCR Chemokine Receptor Binding (GO:0045236),1/16,0.06889705181,0.1467101927,0,0,15.07272727,40.32168414,PPBP
Ubiquitin-Protein Transferase Activator Activity (GO:0097027),1/16,0.06889705181,0.1467101927,0,0,15.07272727,40.32168414,CDC20
Quaternary Ammonium Group Transmembrane Transporter Activity (GO:0015651),1/17,0.07304376905,0.151964623,0,0,14.12997159,36.97384638,SLC22A3
Nuclear Retinoic Acid Receptor Binding (GO:0042974),1/17,0.07304376905,0.151964623,0,0,14.12997159,36.97384638,CYP27B1
Metalloendopeptidase Activity (GO:0004222),2/101,0.07452394824,0.1532822117,0,0,4.600487635,11.94578607,MME;MMP2
Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095),1/18,0.07717222549,0.1548645538,0,0,13.29812834,34.06602363,GABRA1
Carboxylic Ester Hydrolase Activity (GO:0052689),2/104,0.07837714881,0.1548645538,0,0,4.464503043,11.36761972,BCHE;ALDH2
Kinase Activity (GO:0016301),2/106,0.08098027174,0.1548645538,0,0,4.378205128,11.00483624,RFK;CAMK2A
Alcohol Dehydrogenase (NADP+) Activity (GO:0008106),1/19,0.08128250061,0.1548645538,0,0,12.55871212,31.52016375,AKR1C3
Postsynaptic Neurotransmitter Receptor Activity (GO:0098960),1/19,0.08128250061,0.1548645538,0,0,12.55871212,31.52016375,DRD1
NAD-retinol Dehydrogenase Activity (GO:0004745),1/19,0.08128250061,0.1548645538,0,0,12.55871212,31.52016375,AKR1C3
Metalloaminopeptidase Activity (GO:0070006),1/19,0.08128250061,0.1548645538,0,0,12.55871212,31.52016375,LTA4H
Tau-Protein Kinase Activity (GO:0050321),1/20,0.08537467354,0.157681795,0,0,11.89712919,29.27533461,FYN
Ubiquitin-Specific Protease Binding (GO:1990381),1/20,0.08537467354,0.157681795,0,0,11.89712919,29.27533461,DERL1
Fibroblast Growth Factor Binding (GO:0017134),1/20,0.08537467354,0.157681795,0,0,11.89712919,29.27533461,SCN5A
GABA Receptor Activity (GO:0016917),1/21,0.08944882309,0.160299376,0,0,11.30170455,27.2833164,GABRA1
Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529),1/21,0.08944882309,0.160299376,0,0,11.30170455,27.2833164,GRIN2B
Ephrin Receptor Binding (GO:0046875),1/21,0.08944882309,0.160299376,0,0,11.30170455,27.2833164,FYN
"Steroid Dehydrogenase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0033764)",1/22,0.09350502775,0.1659255885,0,0,10.76298701,25.50548161,AKR1C3
Disordered Domain Specific Binding (GO:0097718),1/23,0.0975433656,0.171411157,0,0,10.2732438,23.91054578,FYN
Metallopeptidase Activity (GO:0008237),2/124,0.1055304852,0.183663633,0,0,3.72884869,8.385268659,MME;MMP2
Inward Rectifier Potassium Channel Activity (GO:0005242),1/26,0.1095519547,0.1870651303,0,0,9.039090909,19.98865126,KCNJ11
NAD Binding (GO:0051287),1/26,0.1095519547,0.1870651303,0,0,9.039090909,19.98865126,ALDH2
Monocarboxylic Acid Binding (GO:0033293),1/28,0.1174697643,0.1987105358,0,0,8.368686869,17.92216475,AKR1C3
Aminopeptidase Activity (GO:0004177),1/29,0.1214025235,0.2034616366,0,0,8.069399351,17.01548741,LTA4H
Receptor Antagonist Activity (GO:0048019),1/30,0.1253179536,0.2080967853,0,0,7.790752351,16.18062246,ESR2
Adenyl Nucleotide Binding (GO:0030554),1/31,0.1292161299,0.2126192683,0,0,7.530681818,15.40979963,ALDH2
Inorganic Anion Transmembrane Transporter Activity (GO:0015103),1/32,0.1330971278,0.2170322534,0,0,7.287390029,14.69630555,SLC22A11
Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315),1/34,0.1408078869,0.219708858,0,0,6.845041322,13.41873714,GRIN2B
MHC Protein Binding (GO:0042287),1/34,0.1408078869,0.219708858,0,0,6.845041322,13.41873714,DERL1
NADH Dehydrogenase (Quinone) Activity (GO:0050136),1/34,0.1408078869,0.219708858,0,0,6.845041322,13.41873714,NQO1
Sodium Channel Regulator Activity (GO:0017080),1/34,0.1408078869,0.219708858,0,0,6.845041322,13.41873714,CAMK2D
Solute:Sodium Symporter Activity (GO:0015370),1/34,0.1408078869,0.219708858,0,0,6.845041322,13.41873714,SLC28A1
Ion Channel Inhibitor Activity (GO:0008200),1/35,0.1446377969,0.2237559081,0,0,6.643382353,12.84513001,CAMK2D
Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),1/36,0.1484508259,0.2277084702,0,0,6.453246753,12.30957795,FYN
Sulfotransferase Activity (GO:0008146),1/38,0.1560265345,0.2353400228,0,0,6.103808354,11.33922297,SULT2B1
Alpha-Tubulin Binding (GO:0043014),1/38,0.1560265345,0.2353400228,0,0,6.103808354,11.33922297,FYN
Tau Protein Binding (GO:0048156),1/39,0.1597893602,0.2390237537,0,0,5.942882775,10.89864577,FYN
Monoatomic Ion Gated Channel Activity (GO:0022839),1/40,0.1635355973,0.2426224845,0,0,5.79020979,10.48447526,GRIN1
Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175),1/41,0.1672653179,0.2461383946,0,0,5.645170455,10.09454702,SLC7A5
Chemokine Activity (GO:0008009),1/46,0.1856686834,0.2710163846,0,0,5.016666667,8.447020521,PPBP
Zinc Ion Binding (GO:0008270),3/341,0.1942020612,0.2812045847,0,0,2.020056419,3.310581804,MME;LTA4H;GRIN2B
Chemokine Receptor Binding (GO:0042379),1/50,0.2001013408,0.2851838006,0,0,4.606215213,7.411084001,PPBP
Cholesterol Binding (GO:0015485),1/50,0.2001013408,0.2851838006,0,0,4.606215213,7.411084001,SULT2B1
Amino Acid Transmembrane Transporter Activity (GO:0015171),1/56,0.2212773793,0.3129000442,0,0,4.102479339,6.187926524,SLC7A5
Metalloexopeptidase Activity (GO:0008235),1/57,0.2247524201,0.3153502949,0,0,4.029017857,6.014339926,LTA4H
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),2/203,0.2284702798,0.3176502925,0,0,2.254246011,3.328054168,TBXA2R;SLC6A2
Sterol Binding (GO:0032934),1/59,0.2316565669,0.3176502925,0,0,3.889694357,5.688675349,SULT2B1
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943),1/59,0.2316565669,0.3176502925,0,0,3.889694357,5.688675349,SLC7A5
PDZ Domain Binding (GO:0030165),1/62,0.2418989495,0.329200826,0,0,3.697839046,5.248103354,DLG4
L-amino Acid Transmembrane Transporter Activity (GO:0015179),1/63,0.2452829847,0.3313150764,0,0,3.638013196,5.112655271,SLC7A5
Chloride Channel Activity (GO:0005254),1/64,0.2486520831,0.3333779781,0,0,3.58008658,4.982408699,GABRA1
Calcium Ion Transmembrane Transporter Activity (GO:0015085),1/68,0.2619804084,0.3486651023,0,0,3.365671642,4.508268548,GRIN1
ATPase Binding (GO:0051117),1/73,0.2783124761,0.367697505,0,0,3.131155303,4.004781392,DERL1
Hormone Activity (GO:0005179),1/74,0.2815357457,0.3692606519,0,0,3.088107098,3.914162952,AGT
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),1/76,0.2879396417,0.3749429867,0,0,3.005454545,3.741804128,KCNJ11
"Phosphotransferase Activity, Alcohol Group As Acceptor (GO:0016773)",1/77,0.2911203923,0.3763770786,0,0,2.965759569,3.659801814,RFK
Potassium Channel Activity (GO:0005267),1/79,0.2974398066,0.3818198935,0,0,2.889423077,3.503550897,KCNJ11
Voltage-Gated Potassium Channel Activity (GO:0005249),1/80,0.3005785928,0.3831318682,0,0,2.852704258,3.429081797,KCNJ11
G Protein-Coupled Receptor Activity (GO:0004930),2/250,0.3058811665,0.3871642737,0,0,1.822673341,2.159063376,ADORA3;DRD1
Transition Metal Ion Binding (GO:0046914),3/456,0.3313090383,0.4164370551,0,0,1.498382874,1.655269088,MME;LTA4H;GRIN2B
Calcium Channel Activity (GO:0005262),1/91,0.3342032719,0.4167872141,0,0,2.502651515,2.742920758,GRIN1
Kinase Binding (GO:0019900),3/460,0.3361930014,0.4167872141,0,0,1.484962597,1.618712993,DLG4;SCN5A;ADRA2A
Ubiquitin Protein Ligase Binding (GO:0031625),2/271,0.3401814018,0.4188628144,0,0,1.678588215,1.809981838,DERL1;SCN5A
"Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)",1/95,0.3460298948,0.4231852092,0,0,2.395672147,2.542359408,AKR1C3
Growth Factor Receptor Binding (GO:0070851),1/96,0.3489539461,0.4238970755,0,0,2.370334928,2.495524938,FYN
Protein Tyrosine Kinase Activity (GO:0004713),1/99,0.3576487586,0.4315628353,0,0,2.297425788,2.362222145,FYN
Ubiquitin-Like Protein Ligase Binding (GO:0044389),2/289,0.3691800392,0.4425270668,0,0,1.571869118,1.566321745,DERL1;SCN5A
Monoatomic Cation Channel Activity (GO:0005261),1/105,0.3746953834,0.4461833184,0,0,2.164226399,2.124495301,GRIN1
Phosphatase Binding (GO:0019902),1/112,0.3940184273,0.4661263748,0,0,2.027027027,1.887887029,DLG4
Protein Phosphatase Binding (GO:0019903),1/115,0.4021178779,0.4726190643,0,0,1.973385167,1.797773631,DLG4
Protease Binding (GO:0002020),1/125,0.4283506909,0.4969966349,0,0,1.81332478,1.537360408,DERL1
Serine-Type Endopeptidase Activity (GO:0004252),1/125,0.4283506909,0.4969966349,0,0,1.81332478,1.537360408,MMP2
Endopeptidase Activity (GO:0004175),2/335,0.4408217952,0.5082085665,0,0,1.351558455,1.107081233,MME;MMP2
G Protein-Coupled Receptor Binding (GO:0001664),1/140,0.4655803366,0.5333546894,0,0,1.616415958,1.235702503,GNAZ
Serine-Type Peptidase Activity (GO:0008236),1/142,0.4703595778,0.5354407773,0,0,1.593326886,1.20177926,MMP2
Cytokine Activity (GO:0005125),1/178,0.5495047535,0.6216272524,0,0,1.266949153,0.7585704174,PPBP
Actin Binding (GO:0003779),1/183,0.5595288465,0.6290355356,0,0,1.231830669,0.7152750365,SLC6A2
GTPase Regulator Activity (GO:0030695),2/424,0.5657626367,0.6321175139,0,0,1.06166585,0.6047043337,TBXA2R;SLC6A2
Protein Kinase Binding (GO:0019901),2/511,0.6676062618,0.7413296526,0,0,0.8762730619,0.3540640085,SCN5A;ADRA2A
GTPase Activity (GO:0003924),1/265,0.6957076068,0.7678236392,0,0,0.8456869835,0.3068370666,GNAZ
Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),1/270,0.70250807,0.7706300647,0,0,0.8297566746,0.2929857461,GNAZ
ATP Binding (GO:0005524),1/279,0.7143723306,0.7789240472,0,0,0.8025261609,0.2699304616,KCNJ11
Adenyl Ribonucleotide Binding (GO:0032559),1/309,0.7506407438,0.8135687104,0,0,0.7232511806,0.2074487707,KCNJ11
Cadherin Binding (GO:0045296),1/319,0.7616872748,0.8143997696,0,0,0.7001500858,0.1905943018,FYN
Receptor Ligand Activity (GO:0048018),1/319,0.7616872748,0.8143997696,0,0,0.7001500858,0.1905943018,AGT
Tubulin Binding (GO:0015631),1/322,0.764905861,0.8143997696,0,0,0.6935004248,0.1858598547,FYN
Calcium Ion Binding (GO:0005509),1/346,0.7891537554,0.8311967842,0,0,0.6444664032,0.1526058441,GRIN1
Double-Stranded DNA Binding (GO:0003690),2/650,0.7898665573,0.8311967842,0,0,0.6833759046,0.1612024049,ADRA2A;NR3C2
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),2/715,0.8322412221,0.8669437719,0,0,0.6189808322,0.1136652761,ADRA2A;NR3C2
Sequence-Specific DNA Binding (GO:0043565),2/717,0.8334155597,0.8669437719,0,0,0.6171851137,0.1124652551,ADRA2A;NR3C2
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978),3/1122,0.8824890734,0.9084467044,0,0,0.5858220587,0.07323295456,CYP27B1;ESR2;NR3C2
Purine Ribonucleoside Triphosphate Binding (GO:0035639),1/476,0.8833514916,0.9084467044,0,0,0.4649760766,0.05767195566,KCNJ11
DNA Binding (GO:0003677),2/846,0.8952406126,0.9154720389,0,0,0.5193386719,0.05747144868,CYP27B1;ESR2
Metal Ion Binding (GO:0046872),1/521,0.9050514498,0.9203051259,0,0,0.4237543706,0.04227521335,GRIN1
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),3/1225,0.9158253372,0.9260580226,0,0,0.5335039775,0.04691079794,CYP27B1;ADRA2A;ESR2
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),2/1098,0.9597682478,0.9651002936,0,0,0.394643007,0.01620539638,CYP27B1;ESR2
RNA Binding (GO:0003723),2/1411,0.9885935735,0.9885935735,0,0,0.3018689378,0.00346303403,NQO1;LTA4H
