Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Postsynaptic Neurotransmitter Receptor Activity (GO:0098960),2/19,7.90E-04,0.00465585594,0,0,55.85154062,398.9860588,CHRNA3;DRD4
Protein Tyrosine Kinase Binding (GO:1990782),3/85,8.65E-04,0.00484491385,0,0,17.73408685,125.0712864,SHC2;SHC3;CRK
Neuropeptide Binding (GO:0042923),2/28,0.001724139401,0.009195410141,0,0,36.5018315,232.2621485,OPRD1;OPRM1
Hsp90 Protein Binding (GO:0051879),2/35,0.002687548463,0.0136820649,0,0,28.74891775,170.1684623,CYP1A1;CYP2E1
Protein Homodimerization Activity (GO:0042803),6/662,0.003109636919,0.01514257978,0,0,4.645378691,26.8189293,NTRK1;NTRK2;UGT1A4;ADRA2C;ADRA2A;ABCG2
Phosphotyrosine Residue Binding (GO:0001784),2/39,0.003328401677,0.01553254116,0,0,25.63577864,146.258861,SHC3;CRK
Protein Phosphorylated Amino Acid Binding (GO:0045309),2/45,0.004409836067,0.01975606558,0,0,22.05204873,119.6084988,SHC3;CRK
Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714),2/50,0.005418765892,0.02334237615,0,0,19.75,103.0532719,NTRK1;NTRK2
Receptor Tyrosine Kinase Binding (GO:0030971),2/59,0.00747443359,0.02989773436,0,0,16.62406015,81.39583606,SHC2;SHC3
SH3 Domain Binding (GO:0017124),2/59,0.00747443359,0.02989773436,0,0,16.62406015,81.39583606,CRK;DRD4
Melanocortin Receptor Activity (GO:0004977),1/5,0.01095268847,0.04230003823,0,0,116,523.6437583,OPRM1
G Protein-Coupled Peptide Receptor Activity (GO:0008528),2/77,0.01246669306,0.04654232077,0,0,12.62285714,55.34737539,OPRD1;FPR3
Sodium Ion Binding (GO:0031402),1/6,0.01312912455,0.04743425644,0,0,92.79534884,402.0750334,SLC6A4
Urate Transmembrane Transporter Activity (GO:0015143),1/7,0.01530088096,0.05040290199,0,0,77.3255814,323.208935,ABCG2
Neutral L-amino Acid:Sodium Symporter Activity (GO:0005295),1/7,0.01530088096,0.05040290199,0,0,77.3255814,323.208935,SLC6A2
Estrogen 16-Alpha-Hydroxylase Activity (GO:0101020),1/7,0.01530088096,0.05040290199,0,0,77.3255814,323.208935,CYP1A2
Glycine Transmembrane Transporter Activity (GO:0015187),1/9,0.01963039329,0.06107233468,0,0,57.98837209,227.9335161,SLC6A2
Bioactive Lipid Receptor Activity (GO:0045125),1/9,0.01963039329,0.06107233468,0,0,57.98837209,227.9335161,LPAR4
GTPase Activity (GO:0003924),3/265,0.02042817204,0.06183662888,0,0,5.500093093,21.39998412,GNAO1;GNAZ;GNAT2
Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),3/270,0.02144839179,0.06257115071,0,0,5.395724856,20.73094475,GNAO1;GNAZ;GNAT2
Glycerophospholipid Flippase Activity (GO:0140333),1/10,0.02178816855,0.06257115071,0,0,51.54263566,197.222132,ABCB1
Complement Receptor Activity (GO:0004875),1/11,0.02394130279,0.06703564782,0,0,46.38604651,173.119691,FPR3
Ligand-Gated Channel Activity (GO:0022834),1/12,0.0260898057,0.07126971312,0,0,42.16701903,153.7498329,CHRNA3
MHC Class I Protein Binding (GO:0042288),1/13,0.02823368694,0.07186756676,0,0,38.65116279,137.8779524,DERL1
Metalloendopeptidase Inhibitor Activity (GO:0008191),1/13,0.02823368694,0.07186756676,0,0,38.65116279,137.8779524,NGF
SUMO Ligase Activity (GO:0061665),1/13,0.02823368694,0.07186756676,0,0,38.65116279,137.8779524,RANBP2
Alkali Metal Ion Binding (GO:0031420),1/14,0.03037295619,0.07210354147,0,0,35.67620751,124.6598994,SLC6A4
G Protein-Coupled Photoreceptor Activity (GO:0008020),1/14,0.03037295619,0.07210354147,0,0,35.67620751,124.6598994,GNAT2
Clathrin Adaptor Activity (GO:0035615),1/14,0.03037295619,0.07210354147,0,0,35.67620751,124.6598994,AP1M1
Protease Binding (GO:0002020),2/125,0.03090151777,0.07210354147,0,0,7.678281069,26.69699919,NTRK2;DERL1
Adrenergic Receptor Binding (GO:0031690),1/15,0.0325076231,0.07281707574,0,0,33.12624585,113.4998155,ADRA2C
Death Receptor Binding (GO:0005123),1/15,0.0325076231,0.07281707574,0,0,33.12624585,113.4998155,NGF
Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity (GO:0022848),1/16,0.03463769731,0.07606709997,0,0,30.91627907,103.965655,CHRNA3
Phosphatidylcholine Transporter Activity (GO:0008525),1/17,0.03676318844,0.07918225203,0,0,28.98255814,95.73687424,ABCB1
Retinoic Acid Binding (GO:0001972),1/19,0.04100045992,0.08664248134,0,0,25.75968992,82.28088014,UGT1A4
Ubiquitin-Specific Protease Binding (GO:1990381),1/20,0.04311225943,0.08779223738,0,0,24.40269278,76.72079425,DERL1
Acetylcholine Receptor Activity (GO:0015464),1/20,0.04311225943,0.08779223738,0,0,24.40269278,76.72079425,CHRNA3
Ephrin Receptor Binding (GO:0046875),1/21,0.0452195142,0.0904390284,0,0,23.18139535,71.77485187,CRK
Ligand-Gated Monoatomic Ion Channel Activity (GO:0015276),1/23,0.04942042768,0.09543254999,0,0,21.07188161,63.37139604,CHRNA3
Cyclosporin A Binding (GO:0016018),1/23,0.04942042768,0.09543254999,0,0,21.07188161,63.37139604,RANBP2
SUMO Transferase Activity (GO:0019789),1/24,0.0515141054,0.09778948822,0,0,20.15470172,59.77682212,RANBP2
MHC Class II Protein Complex Binding (GO:0023026),1/25,0.05360327646,0.1000594494,0,0,19.31395349,56.51543007,GNAO1
Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231),1/26,0.05568795028,0.1022467284,0,0,18.54046512,53.54470544,CHRNA3
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, NAD(P)H As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016709)",1/27,0.05776813634,0.1043553431,0,0,17.82647585,50.82895022,CYP2E1
Monocarboxylic Acid Binding (GO:0033293),1/28,0.05984384406,0.1063890561,0,0,17.16537468,48.3379819,UGT1A4
Glucuronosyltransferase Activity (GO:0015020),1/30,0.06398186209,0.1102456701,0,0,15.97995188,43.93137486,UGT1A4
Retinoid Binding (GO:0005501),1/30,0.06398186209,0.1102456701,0,0,15.97995188,43.93137486,UGT1A4
Protein Heterodimerization Activity (GO:0046982),2/190,0.06549289087,0.1104022301,0,0,5.007092199,13.6484004,ADRA2C;ADRA2A
SH2 Domain Binding (GO:0042169),1/31,0.06604419119,0.1104022301,0,0,15.44651163,41.97483259,CRK
Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315),1/34,0.07220457095,0.1155273135,0,0,14.04016913,36.90110156,CHRNA3
Hsp70 Protein Binding (GO:0030544),1/34,0.07220457095,0.1155273135,0,0,14.04016913,36.90110156,CYP2E1
MHC Protein Binding (GO:0042287),1/34,0.07220457095,0.1155273135,0,0,14.04016913,36.90110156,DERL1
Neuropeptide Receptor Activity (GO:0008188),1/36,0.07628941097,0.1203438596,0,0,13.23654485,34.06055692,OPRM1
Transmembrane Receptor Protein Kinase Activity (GO:0019199),1/37,0.07832523488,0.1218392543,0,0,12.86821705,32.7738747,NTRK1
Monoatomic Ion Gated Channel Activity (GO:0022839),1/40,0.08440643303,0.1295002808,0,0,11.8765653,29.36019554,CHRNA3
CCR Chemokine Receptor Binding (GO:0048020),1/44,0.09245373534,0.1399299778,0,0,10.76960519,25.64293525,XCL2
Potassium Channel Regulator Activity (GO:0015459),1/45,0.09445473586,0.1410524056,0,0,10.5243129,24.83353227,DRD4
Chemokine Activity (GO:0008009),1/46,0.09645142457,0.1421389415,0,0,10.28992248,24.06520397,XCL2
Voltage-Gated Calcium Channel Activity (GO:0005245),1/47,0.09844381053,0.1431909971,0,0,10.06572295,23.33505696,OPRM1
Chemokine Receptor Binding (GO:0042379),1/50,0.1043952425,0.149900861,0,0,9.448030375,21.34849709,XCL2
UDP-glycosyltransferase Activity (GO:0008194),1/61,0.125890464,0.1784776199,0,0,7.711627907,15.98113875,UGT1A4
ATPase Binding (GO:0051117),1/73,0.1487648739,0.2082708235,0,0,6.42248062,12.23731909,DERL1
Ligand-Gated Monoatomic Cation Channel Activity (GO:0099094),1/75,0.1525199678,0.210876112,0,0,6.248271527,11.74962315,CHRNA3
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),1/76,0.1543914391,0.210876112,0,0,6.164651163,11.51719639,OPRM1
Growth Factor Activity (GO:0008083),1/85,0.1710539444,0.2308197804,0,0,5.50166113,9.714702878,NGF
Calcium Channel Activity (GO:0005262),1/91,0.1819835658,0.2426447544,0,0,5.133333333,8.746372989,OPRM1
Hexosyltransferase Activity (GO:0016758),1/96,0.1909838962,0.2516493691,0,0,4.861933905,8.049253281,UGT1A4
Protein Tyrosine Kinase Activity (GO:0004713),1/99,0.1963375647,0.2556954331,0,0,4.71238728,7.671388711,NTRK1
Endopeptidase Inhibitor Activity (GO:0004866),1/112,0.2191394488,0.2821105548,0,0,4.157762414,6.311678756,NGF
GTPase Regulator Activity (GO:0030695),2/424,0.239221228,0.3044633811,0,0,2.204242835,3.152875141,RANBP2;SLC6A2
Kinase Binding (GO:0019900),2/460,0.2686855052,0.3381210852,0,0,2.027240591,2.664227376,CRK;ADRA2A
Purine Ribonucleoside Triphosphate Binding (GO:0035639),2/476,0.2818006924,0.3506853061,0,0,1.957203134,2.478905851,ABCB1;GNAT2
Protein Kinase Binding (GO:0019901),2/511,0.3104333263,0.3820717862,0,0,1.819346992,2.128246879,CRK;ADRA2A
Cytokine Activity (GO:0005125),1/178,0.3254959564,0.3962559469,0,0,2.598738668,2.916837898,XCL2
Actin Binding (GO:0003779),1/183,0.3329497033,0.4009716857,0,0,2.526705852,2.778779734,SLC6A2
Small GTPase Binding (GO:0031267),1/199,0.3562647903,0.4222959644,0,0,2.320648344,2.395097137,RANBP2
GTP Binding (GO:0005525),1/201,0.3591225797,0.4222959644,0,0,2.297209302,2.352552523,GNAT2
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),1/203,0.3619679695,0.4222959644,0,0,2.2742344,2.311075981,SLC6A2
GTPase Activator Activity (GO:0005096),1/211,0.3732265786,0.4309420288,0,0,2.186710963,2.155155838,RANBP2
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),1/224,0.3911090175,0.4410733971,0,0,2.057878819,1.93187272,CYP1A1
GTPase Binding (GO:0051020),1/225,0.3924637482,0.4410733971,0,0,2.04858804,1.916067148,RANBP2
Guanyl Ribonucleotide Binding (GO:0032561),1/226,0.3938155331,0.4410733971,0,0,2.039379845,1.90044234,GNAT2
Ubiquitin-Like Protein Transferase Activity (GO:0019787),1/240,0.4124346919,0.4573533217,0,0,1.918555999,1.699221705,RANBP2
Ubiquitin Protein Ligase Binding (GO:0031625),1/271,0.4516961191,0.4959800524,0,0,1.695607235,1.347576437,DERL1
ATP Binding (GO:0005524),1/279,0.4614044902,0.5017213874,0,0,1.64614355,1.273259445,ABCB1
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),2/715,0.46990052,0.5048575512,0,0,1.285179991,0.9706119674,CYP1A1;ADRA2A
Ubiquitin-Like Protein Ligase Binding (GO:0044389),1/289,0.4733039542,0.5048575512,0,0,1.588178295,1.187985138,DERL1
Adenyl Ribonucleotide Binding (GO:0032559),1/309,0.4963371412,0.5244316964,0,0,1.483539716,1.039219368,ABCB1
Ubiquitin-Like Protein Ligase Activity (GO:0061659),1/319,0.5074816054,0.5262772204,0,0,1.436156209,0.9741373089,RANBP2
Receptor Ligand Activity (GO:0048018),1/319,0.5074816054,0.5262772204,0,0,1.436156209,0.9741373089,NGF
Transcription Cis-Regulatory Region Binding (GO:0000976),1/474,0.6523306581,0.6702847129,0,0,0.9579133684,0.4092241365,CYP1A1
Double-Stranded DNA Binding (GO:0003690),1/650,0.7666790695,0.7806186889,0,0,0.6918335901,0.183811183,ADRA2A
Sequence-Specific DNA Binding (GO:0043565),1/717,0.7997372919,0.8069421324,0,0,0.6249187995,0.1396518479,ADRA2A
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),1/1225,0.9382173192,0.9382173192,0,0,0.3559051528,0.02269737893,ADRA2A
