Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ATP Binding (GO:0005524),1/279,0.7412416906,0.8154755215,0,0,0.7431276032,0.2225136123,ABCC6
mRNA Binding (GO:0003729),1/282,0.7450023283,0.8154755215,0,0,0.7350814759,0.2163844164,SHMT1
DNA Binding (GO:0003677),3/846,0.7776680662,0.8455183001,0,0,0.7293843034,0.1834076918,DNMT1;HDAC2;AHR
Zinc Ion Binding (GO:0008270),1/341,0.8088842461,0.8727676619,0,0,0.6056965944,0.1284679175,SHMT1
Calcium Ion Binding (GO:0005509),1/346,0.8135056601,0.8727676619,0,0,0.5967658276,0.1231738958,PLA2G2A
Sequence-Specific DNA Binding (GO:0043565),2/717,0.8633073121,0.9201038458,0,0,0.5710162178,0.08393056402,HDAC2;AHR
GTPase Regulator Activity (GO:0030695),1/424,0.8728040879,0.9241455049,0,0,0.4847828792,0.06595187996,HTR2B
Transcription Cis-Regulatory Region Binding (GO:0000976),1/474,0.9005532598,0.9422429271,0,0,0.4324246133,0.0452947362,AHR
Purine Ribonucleoside Triphosphate Binding (GO:0035639),1/476,0.9015287265,0.9422429271,0,0,0.4305595568,0.04463325532,ABCC6
Protein Kinase Binding (GO:0019901),1/511,0.9171445606,0.9504730035,0,0,0.4002889577,0.03462106161,GSTP1
Metal Ion Binding (GO:0046872),1/521,0.921137417,0.9504730035,0,0,0.392388664,0.03223317872,PLA2G2A
Double-Stranded DNA Binding (GO:0003690),1/650,0.9583921544,0.9826552469,0,0,0.3123023275,0.01327229859,AHR
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),1/715,0.969901091,0.9882011116,0,0,0.2829131653,0.008646160375,AHR
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),1/1098,0.9956314117,0.9991219098,0,0,0.180463465,7.90E-04,AHR
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978),1/1122,0.9961339094,0.9991219098,0,0,0.1763744777,6.83E-04,AHR
RNA Binding (GO:0003723),1/1411,0.9991219098,0.9991219098,0,0,0.1380664427,1.21E-04,HDAC2
